#ePR      ePP       Nrep      PercBound           
14        0.0       1         2.5516E-02
14        0.0       2         8.1346E-02
14        0.0       3         3.3911E-02
14        0.0       4         3.5510E-02
14        0.0       5         4.1372E-02
14        0.0       6         4.3704E-02
14        0.0       7         4.6902E-02
14        0.2       1         1.1746E-01
14        0.2       2         5.7495E-02
14        0.2       3         3.9707E-02
14        0.2       4         3.9707E-02
14        0.2       5         4.5703E-02
14        0.2       6         4.4504E-02
14        0.2       7         3.0380E-02
14        0.4       1         2.6582E-02
14        0.4       2         5.3498E-02
14        0.4       3         2.7515E-02
14        0.4       4         3.2578E-02
14        0.4       5         3.2578E-02
14        0.4       6         4.6569E-02
14        0.4       7         5.1033E-02
14        0.6       1         7.7015E-02
14        0.6       2         8.0528E-02
14        0.6       3         6.5423E-02
14        0.6       4         2.3718E-02
14        0.6       5         7.3817E-02
14        0.6       6         4.0040E-02
14        0.6       7         4.4037E-02
14        0.8       1         4.0573E-02
14        0.8       2         4.4895E-02
14        0.8       3         5.8494E-02
14        0.8       4         3.6442E-02
14        0.8       5         4.7635E-02
14        0.8       6         4.7169E-02
14        0.8       7         5.5696E-02
14        1.0       1         4.4037E-02
14        1.0       2         4.9101E-02
14        1.0       3         6.6156E-02
14        1.0       4         3.7242E-02
14        1.0       5         7.8548E-02
14        1.0       6         3.3245E-02
14        1.0       7         5.8161E-02
14        1.2       1         6.5490E-02
14        1.2       2         4.0240E-02
14        1.2       3         3.6975E-02
14        1.2       4         4.1039E-02
14        1.2       5         2.2851E-02
14        1.2       6         3.3911E-02
14        1.2       7         5.0999E-02
14        1.4       1         3.4556E-02
14        1.4       2         4.6969E-02
14        1.4       3         6.2425E-02
14        1.4       4         6.1026E-02
14        1.4       5         5.7761E-02
14        1.4       6         2.8847E-02
14        1.4       7         5.2565E-02
14        1.6       1         2.9648E-02
14        1.6       2         6.6489E-02
14        1.6       3         4.5969E-02
14        1.6       4         4.4504E-02
14        1.6       5         3.5443E-02
14        1.6       6         5.3964E-02
14        1.6       7         4.7968E-02
14        1.8       1         3.9102E-02
14        1.8       2         2.7249E-02
14        1.8       3         6.9087E-02
14        1.8       4         4.0440E-02
14        1.8       5         3.3178E-02
14        1.8       6         6.4424E-02
14        1.8       7         2.6316E-02
14        2.0       1         3.1469E-02
14        2.0       2         6.1292E-02
14        2.0       3         8.2678E-02
14        2.0       4         1.0516E-01
14        2.0       5         3.0580E-02
14        2.0       6         8.1412E-02
14        2.0       7         5.7029E-02
14        2.2       1         1.0027E-01
14        2.2       2         6.3291E-02
14        2.2       3         3.4965E-02
14        2.2       4         7.2485E-02
14        2.2       5         2.9812E-02
14        2.2       6         3.8774E-02
14        2.2       7         1.0040E-01
